id,latitude,longitude,status,place_name,address,description,radius,allow_parking,allow_deployment,current_occupancy,vehicle_types,min_deployment_cap,min_reason,max_deployment_cap,max_parking_cap,threshold,pin_type,image_url,downstream_revenue
SNOHFS2SO6WU5,35.712784,139.798431,active,RBパーク花川戸１丁目（3番車室の中と前）,東京都台東区花川戸1-8−3,"",15.0,true,true,5,scooter,4,gr,4,7,7,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/KYOOLJ3EXROEH5QG,0.0
RRJVLGNZGU7YS,35.584603,139.729167,active,リベルテ大森,東京都大田区大森北4-8-2,"",35.0,true,true,2,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/4HH3LMIM633VJ3R4,0.0
J64DLNTGBD72J,35.55938,139.72784,active,美里ナイス,東京都大田区南蒲田1-7-16美里ナイス,"",15.0,true,true,2,scooter,5,gr,5,8,8,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/UWM65TXW6APMBI7Y,0.0
C2UTUHIPT6OKH,35.580931,139.732647,active,K2ヴィラ,東京都大田区大森北6-4-3,"",20.0,true,true,7,scooter,5,gr,5,8,8,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/6DA2U4EHJC2PE7IY,0.0
Z75SHV4UMWZSX,35.56776,139.726532,active,ウエダヤビル,東京都大田区大森西6-14-16ウエダヤビル,"",15.0,true,true,2,scooter,3,gr,3,5,5,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/454YT4PYH6MQQR4J,0.0
U3VTKYVGCJSDK,35.584117,139.735789,active,CHビル大森北,東京都大田区大森北3-43-15,"",15.0,true,true,4,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/IFQSO7L7A7VWNFES,0.0
GV4BQUD54YEB4,35.557075,139.719433,active,ラウレア蒲田,東京都大田区蒲田本町2-10-4ラウレア蒲田,"",15.0,true,true,3,scooter,3,gr,3,5,5,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/ZOW5K67P2SQXFU63,0.0
PNZHCUOFPGRPG,35.555659,139.731508,active,シティプラザ西糀谷,東京都大田区西糀谷4-8-14,"",15.0,true,true,3,scooter,5,gr,5,8,8,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/GZVNCIYB26VFXJPN,0.11835
E77EFNS4G3H5D,35.577989,139.676641,active,多摩リバーハイツ,東京都大田区鵜の木3-18-9多摩リバーハイツ,"",15.0,true,true,2,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/VESBRFICJFIUW4Y7,0.0
UDABLY2D7CVHN,35.704385,139.686358,active,中野区東中野１丁目駐車場,東京都中野区東中野1-38-11,"",15.0,true,true,5,scooter,3,gr,3,5,5,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/H5BKMI3473ZAQMTV,0.19677
